method,region,roi,sensitivity,specificity,PPV,NPV,subject
SCC,ROI 4,80,84.06653534690304,95.2166327420762,97.22409719878502,74.99141188594984,C19
SCC,ROI 4,80,85.23136802652444,95.73188198224004,97.54186257527014,76.53727241497768,C20
SCC,ROI 4,80,84.22439439014025,95.34174407320116,96.7203513909224,78.74728043055079,C21
SCC,ROI 4,80,85.52472858866103,95.45065601825442,97.42159715486582,76.64032978357953,C22
SCC,ROI 4,80,85.5437215928363,95.5288670235856,97.6081740072761,75.59830527882744,C23
SCC,ROI 4,80,83.0370055295619,95.19706173188304,96.63399663399665,77.16706744532235,C24
SCC,ROI 4,80,83.3453670276775,95.16797712651896,96.84907243404494,76.2281003091721,C25
SPM,ROI 4,80,72.89198606271778,96.23466365815824,95.91930307198533,74.51408604498799,C1
SPM,ROI 4,80,71.71833583035611,96.0458452722063,95.75319279889214,73.20375627866346,C2
SPM,ROI 4,80,74.27104722792608,96.08551206124513,96.38907395069953,72.63594671325617,C3
SPM,ROI 4,80,74.33127572016461,95.92571264036856,96.2306872669153,72.75606027516926,C4
SPM,ROI 4,80,74.59142769041011,96.0080413555428,96.31055076310552,73.00720681371479,C5
